size,complexity,priordefects,churn,allchangescount,changeentropy,allauthors,minorauthors,majorauthors,authorownership,rushedreviews,changesnodisc,selfapprovedchanges,typicaldisclen,typicalreviewwindow,reviewissues,allreviews,allreviewers,typicalnumberofreviewers,chnagesnoexpertise,typicalreviewerexpertise,defects
3208,0.040257649,134,7900,530,0.770709817,29,26,3,0.3619631902,1,28,102,0.0071872572,0,25,334,45,1,14,2,9
750,0.1041009464,40,832,116,0.834977546,11,4,7,0.25,0,6,14,0.0571428571,0,11,125,15,2,4,3,1
758,0.1037713331,31,224,42,0.6924382103,6,0,6,0.3333333333,0,9,16,0,0,3,32,5,0,0,2.5,0
129,0.2217917676,2,436,6,1,1,0,1,1,0,0,0,0.009306694,0,2,6,2,2,0,2.5,0
167,0,24,219,33,0.800305659,9,0,9,0.2142857143,0,11,11,0,0,0,22,10,0,0,1.5,1
17,0,2,4,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
3195,0.0172413793,138,2648,227,0.7530025968,23,19,4,0.1830985915,0,23,46,0,0,10,154,30,0,14,1.5,0
306,0,2,20,3,1,1,0,1,1,0,1,3,0,0,0,0,0,0,0,1,0
469,0,36,364,66,0.8095650976,9,2,7,0.2307692308,0,8,16,0.0342465753,0,6,58,14,2,3,1,1
45,0,0,61,1,0,1,0,1,1,0,1,1,0,0,0,5,2,2,0,1,0
886,0.0247311828,29,736,88,0.8482462328,8,2,6,0.32,0,5,17,0.0071428571,0,2,42,24,0,0,2,1
3191,0.096352749,247,7349,266,0.8138719205,12,5,7,0.1960784314,0,7,23,0.0048058304,0,17,105,37,1,2,2,3
893,0.0501152074,120,1486,95,0.7830216764,10,3,7,0.25,0,7,15,0,0,1,48,9,1,3,1,1
15,0.2666666667,2,4,2,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
146,0.1712328767,4,40,2,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0
13,0,3,32,4,0,1,0,1,1,0,1,0,0,0,0,2,1,1,0,1,0
596,0.075,51,50,9,0.9823887818,2,0,2,0.8,0,2,1,0,0,0,8,3,1,0,1,1
4092,0.128440367,127,2356,164,0.7877751422,20,14,6,0.224137931,0,18,48,0.003021148,0,7,91,19,1,3,2,0
298,0.1515151515,20,107,6,0.7896900821,2,0,2,0.75,0,2,4,0,0,1,3,2,1,0,1,0
100,0.102739726,2,84,4,1,1,0,1,1,0,1,0,0,0,0,2,3,1,0,1,0
380,0.0476190476,9,112,19,0.8280516427,6,0,6,0.25,0,4,7,0.0277777778,0,2,22,4,2,0,2,0
16,0,4,8,2,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0
443,0.1684210526,8,1046,54,0.7466559065,4,0,4,0.4444444444,0,2,2,0.0125838926,0,0,8,4,1,1,1,1
35,0,5,20,2,0,1,0,1,1,0,1,0,0,0,0,1,2,1,0,1,0
941,0.0868544601,40,1434,18,0.8527924885,3,0,3,0.4,0,1,3,0.0034482759,0,2,10,8,2,0,2,1
561,0.2798573975,10,70,14,0,1,0,1,1,0,0,0,0.1142857143,0,0,14,3,2,0,1,0
20,0.3,2,45,3,0,1,0,1,1,0,0,0,0.1111111111,0,0,2,2,2,0,1,0
1053,0.0540540541,34,595,44,0.8319252011,5,0,5,0.6153846154,0,2,10,0,0,0,9,5,0,0,1,0
780,0.1467889908,117,453,57,0.8352453878,8,4,4,0.4285714286,0,6,4,0.0174825175,0,0,37,9,1,0,1,1
204,0.0243902439,32,64,18,0.5970357553,3,0,3,0.6666666667,0,2,1,0,0,0,9,4,1,0,1,0
298,0.0625,7,44,8,0.9463946304,2,0,2,0.5,0,2,0,0,0,0,4,2,1,0,1,0
666,0.1107711138,64,852,60,0.936006206,6,0,6,0.3571428571,1,5,11,0.0275297619,0.0922277228,2,28,15,2,0,2.5,0
393,0.0948426573,5,310,25,0.9252822165,4,0,4,0.3333333333,0,3,3,0.0150753769,0,3,15,4,2,0,1.5,0
398,0.081769437,38,58,4,1,1,0,1,1,0,1,2,0,0,0,1,1,0,0,1,0
26,0.0384615385,2,28,2,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
198,0.1503759398,5,69,29,0.9556844291,2,0,2,0.7142857143,0,2,3,0.1666666667,0,0,21,7,2,0,3,0
232,0.1379310345,2,50,4,0,1,0,1,1,0,1,1,0.02,0,0,3,2,2,0,2,0
22,0,5,126,16,0,2,0,2,0.6666666667,0,1,2,0.0317460317,0,0,11,5,2,0,3,0
489,0.1758691207,35,110,17,0,2,0,2,0.8,0,4,2,0.0363636364,9.8470454545,0,9,12,2,0,5,1
220,0.2727272727,10,2,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
163,0.1411042945,7,44,12,0,5,0,5,0.4285714286,0,6,6,0.0227272727,0,0,4,3,3,0,7,0
226,0.1470890411,4,40,8,1,1,0,1,1,0,1,2,0.0666666667,0,0,6,2,2,0,2,0
8,0.125,0,177,8,0,1,0,1,1,0,0,0,0.0282485876,0,2,5,3,3,0,1,0
98,0.2,9,226,25,0.9776808729,2,0,2,0.6666666667,0,0,2,0.1428571429,0,0,9,4,2,0,1.5,0
477,0.1747572816,28,727,29,0.9535834574,3,0,3,0.4285714286,0,1,3,0.0272727273,0,5,22,4,3,0,1,0
93,0.0909090909,9,72,8,0.8112781245,2,0,2,0.5,0,2,3,0.0096153846,0,0,3,2,1,0,2,0
250,0.1172413793,10,203,30,0.9500685975,6,0,6,0.3846153846,0,6,10,0.0583333333,0,1,15,6,2,0,3,0
3612,0.0901856764,251,5869,325,0.8303559053,14,9,5,0.4027777778,1,7,42,0,0,21,157,20,0,4,1,2
1196,0.0772096608,23,665,71,0.8863378616,6,2,4,0.4545454545,0,5,16,0.0107296137,0,4,23,11,0,0,1.5,0
1101,0.1121730019,99,972,24,0.7001349322,4,0,4,0.5,0,4,8,0,0,5,9,4,0,0,1,0
94,0.1463157895,3,26,12,1,1,0,1,1,0,0,0,0.65,0,0,12,3,3,0,1,0
1312,0.0882352941,71,917,75,0.8427324199,9,3,6,0.5517241379,0,3,21,0,0,4,52,12,1,0,1,1
1563,0.0697620698,58,3749,200,0.8436741525,8,3,5,0.4333333333,0,4,8,0.0029735492,0,6,88,12,2,0,2,3
6484,0.0928270042,290,4335,309,0.796153923,17,14,3,0.4941176471,0,14,61,0,0,28,234,26,0,2,1,2
3065,0.0865475071,56,1676,104,0.8779610529,2,0,2,0.6428571429,0,1,5,0.0317164179,0,15,77,2,2,0,2,0
434,0.088,17,375,22,0.334648976,3,0,3,0.6,0,1,3,0,0,0,27,5,0,0,1,0
2131,0.049331963,48,2828,132,0.8213797667,10,4,6,0.25,0,5,23,0.0019493177,0,11,118,12,2,6,2,2
1215,0.1,71,11332,187,0.9687514122,4,1,3,0.7586206897,0,2,7,0.0105162524,0,1,5,4,0,1,3,0
31,0,4,12,2,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0
