size,complexity,priordefects,churn,allchangescount,changeentropy,allauthors,minorauthors,majorauthors,authorownership,rushedreviews,changesnodisc,selfapprovedchanges,typicaldisclen,typicalreviewwindow,reviewissues,allreviews,allreviewers,typicalnumberofreviewers,chnagesnoexpertise,typicalreviewerexpertise,defects
0,0,0,51,1,0,2,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0
9129,487,0,6,1,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
930,112,0,35,2,0.3562071871,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0
9,1,0,2,1,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,183,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
4,1,0,964,49,0.9724210127,3,1,2,0.6530612245,5,0,0,1,7,8,156,8,0,0,9,0
3104,210,60,634,23,0.9526230662,10,5,5,0.2608695652,5,3,1,1,5,10,82,15,0,0,6,0
25,1,0,342,18,1,2,0,2,0.6666666667,5,0,0,1,7,7,96,7,0,0,9,0
200,19,0,467,6,1,2,0,2,0.5,2,0,0,1,1,5,46,7,0,0,0,0
84,15,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
10,1,1,42,5,0,3,0,3,0.4,3,0,0,1,1,0,0,0,0,0,7,0
3103,250,5,428,13,0,4,0,4,0.4615384615,5,5,0,1,1,2,4,3,0,0,21,0
812,531,0,8,2,0,2,0,2,1,0,1,2,0,0,7,31,6,0,0,1,0
0,0,0,201,6,1,1,0,1,1,0,1,6,0,0,0,0,0,0,0,0,0
276,13,0,30,17,0.9894640644,3,0,3,0.4117647059,1,0,0,0,0,4,71,6,0,0,0,0
357,57,0,2,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
229,41,6,568,10,0.9911594714,4,0,4,0.3,2,1,0,1,1,6,55,10,0,0,2,3
54,2,0,114,6,0,2,0,2,0.6666666667,5,0,0,1,1,10,49,10,0,0,6,1
14,4,0,8,1,0,2,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0
24,4,0,226,6,0,2,0,2,0.6666666667,4,0,0,1,1,7,33,8,0,0,11,0
