size,complexity,priordefects,churn,allchangescount,changeentropy,allauthors,minorauthors,majorauthors,authorownership,rushedreviews,changesnodisc,selfapprovedchanges,typicaldisclen,typicalreviewwindow,reviewissues,allreviews,allreviewers,typicalnumberofreviewers,chnagesnoexpertise,typicalreviewerexpertise,defects
4102,0.0714285714,164,12131,599,0.8138892765,33,26,7,0.1489361702,1,18,82,0.0041322314,0,33,465,43,1,16,1,5
700,0.0520504732,44,420,35,0.7072143431,8,0,8,0.25,0,4,10,0.0212363831,0,1,46,6,1,1,1.5,0
620,0.0204081633,32,462,45,0.8148985959,7,0,7,0.2857142857,0,3,9,0.02,0,3,43,12,1,0,4,0
358,0.2001567552,5,740,66,0.9872184052,3,0,3,0.5,0,1,2,0.0972123789,57.1075150274,4,55,4,1,6,4.5,0
163,0.2659620362,13,385,31,0.7570551449,6,0,6,0.25,0,4,5,0,0,3,22,11,0,0,1,3
32,0.1481481481,1,146,5,0.9709505945,1,0,1,1,0,1,2,0.0043859649,0,0,0,1,0,0,1.5,1
17,0,2,6,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
17,0.1538461538,10,1199,66,0.7732266743,2,0,2,0.8571428571,1,1,4,0.0078010833,1.3624025772,17,28,22,2,3,4,1
3919,0.0967741935,159,7695,482,0.796781755,24,19,5,0.1844660194,0,23,62,0.0046550994,0,25,258,39,1,10,2,5
599,0.0474137931,4,1222,64,0.9380381573,2,0,2,0.6,0,1,10,0.0264788169,0,0,0,0,0,0,1,0
623,0,43,1200,67,0.8282133302,9,5,4,0.2380952381,1,4,9,0.005730659,0,11,105,18,2,0,1,2
403,0.2135447107,20,1424,24,0.8250112108,3,0,3,0.3333333333,0,2,6,0.0034285714,0,0,4,10,0,0,1.5,0
3044,0.1017964072,277,1676,129,0.8221515139,16,10,6,0.2083333333,0,19,29,0.0067567568,0,7,64,34,1,0,1,0
610,0.0546875,98,375,15,0.9887621559,4,0,4,0.375,0,2,5,0.2348024316,0,3,29,8,2,0,1,0
349,0.1398036305,7,160,10,0.9709505945,3,0,3,0.4,0,2,2,0.0163968026,0,0,5,3,2,0,2.5,0
787,0.0918367347,7,2004,79,0.9859261585,2,0,2,0.9333333333,0,1,2,0.0011723329,23.1550410317,5,61,5,1,0,4,1
3819,0.1,130,2365,104,0.8735477835,11,6,5,0.3571428571,0,14,18,0.0029850746,0,3,52,14,1,2,1,3
178,0.1114718615,17,161,10,0.8812908992,2,0,2,0.6666666667,0,1,1,0.0163617886,0,0,4,2,2,0,1.5,0
