defects,size,complexity,churn,priordefects,allauthors,minorauthors,majorauthors,authorownership,changeentropy,selfapprovedchanges,rushedreviews,changesnodisc,typicalreviewwindownorm,typicaldisclennorm
0,4,0.2500000188,0,0,0,0,0,0,0,0,0,0,0,0
0,343,0,0,0,0,0,0,0,0,0,0,0,0,0
0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1217,0.0098603123,0,0,0,0,0,0,0,0,0,0,0,0
0,72,0.0138888903,34,0,1,0,1,1,0,0,0,0,25588.1911764706,0.0294117647
0,89,0.2696629222,323,0,1,0,1,1,0,0,0,0,19.7272265101,0.0005083884
0,472,0,6,0,1,0,1,1,1,0,0,0,0,0
0,352,0.0056818185,0,0,0,0,0,0,0,0,0,0,0,0
0,105,0,0,0,0,0,0,0,0,0,0,0,0,0
0,232,0.3232758624,4,0,2,0,2,0.5,0.9774959765,1,1,1,122.0152671842,0.0046690739
0,191,0.141361257,109,0,3,0,3,0.4,1,2,2,3,1648.5833333333,0.2916666667
0,1270,0.2125984253,609,0,3,0,3,0.6666666667,0.9800222103,3,3,2,58.1165889504,0.0069522314
0,571,0.3327495623,528,1,2,0,2,0.75,0.976915571,1,1,1,73.6023531862,0.0022733866
15,20522,0.1933534743,5058,5,15,8,7,0.1944444444,0.9812568543,9,4,12,1254.8636363636,0.0625
0,292,0.2157534249,63,0,2,0,2,0.75,0.9672155114,0,2,1,16.7351576994,0.0007911392
0,591,0.1489001693,1490,1,5,0,5,0.2222222222,0.9859796768,0,2,2,205.0272785623,0.010989011
0,184,0.2934782613,580,1,3,0,3,0.5,0.968392514,0,1,2,56.322244489,0.002004008
0,1350,0.2044444445,216,0,6,0,6,0.3333333333,0.9894721334,0,1,1,170.3466551805,0.0044697741
1,2224,0.1906474821,811,1,7,0,7,0.5,0.9824957502,2,2,1,119.0857142857,0.0060240964
0,1742,0.1802525833,71,0,2,0,2,0.6666666667,0.9758905327,2,1,1,185.3916613623,0.0061747071
0,2203,0.2060826147,403,1,4,0,4,0.5,0.9926866717,1,1,2,373.690725425,0.0191410805
0,2583,0.2137049942,51,0,5,0,5,0.3333333333,0.9831005477,1,1,1,239.9886039886,0.0054054054
0,3443,0.1463839675,2619,2,12,6,6,0.2857142857,0.9814287244,5,4,2,302.194349787,0.0097680098
0,535,0.1925233646,29,0,2,0,2,0.6666666667,1,0,1,3,103.6666666667,0.1111111111
0,50,0.2400000015,1,0,1,0,1,1,1,0,1,1,4.0419303797,0.0007911392
0,498,0.3875502009,22,0,3,0,3,0.5,0.980591673,0,2,2,58.1165889504,0.0056594066
1,576,0.2829861112,29,0,3,0,3,0.4,0.9856734268,0,1,3,167.8711484594,0.0084033613
0,578,0.2404844292,16,0,1,0,1,1,1,0,1,1,4.0419303797,0.0007911392
0,393,0.1755725193,107,1,5,0,5,0.2,0.9825418661,0,1,2,301.4421296296,0.0227272727
0,262,0.2290076339,12,0,3,0,3,0.3333333333,1,1,1,2,85.9565394196,0.0045972503
0,677,0.1802067948,1577,0,3,0,3,0.6666666667,1,2,0,1,491.7685509213,0.006419427
2,422,0.3270142182,1758,3,4,0,4,0.3333333333,0.9804168989,0,1,0,270.0786163522,0.0094339623
0,209,0.2153110052,8,0,2,0,2,0.5,1,0,1,2,85.9565394196,0.0045972503
1,1322,0.3267776097,2619,4,9,3,6,0.3846153846,0.9830113742,3,2,3,170.6917863509,0.0057701874
