size,complexity,priordefects,churn,allchangescount,changeentropy,allauthors,minorauthors,majorauthors,authorownership,rushedreviews,changesnodisc,selfapprovedchanges,typicaldisclen,typicalreviewwindow,reviewissues,allreviews,allreviewers,typicalnumberofreviewers,chnagesnoexpertise,typicalreviewerexpertise,defects
368,36,0,52,12,0.9873179344,3,0,3,0.8333333333,2,0,0,1,0,3,33,6,0,0,2,5
416,40,0,50,12,0.9873179344,3,0,3,0.8333333333,2,0,0,1,0,3,33,6,0,0,2,5
36,1,0,14,7,0.9821410328,3,0,3,0.8571428571,2,0,0,1,0,3,19,6,0,0,2,0
115,7,0,22,7,0.9821410328,3,0,3,0.8571428571,2,0,0,1,0,3,19,6,0,0,2,0
166,14,0,34,8,0.9850568223,3,0,3,0.75,2,0,0,1,1,3,23,6,0,0,2,0
115,2,0,16,8,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2,4
228,26,0,44,8,0.9850568223,3,0,3,0.75,2,0,0,1,1,3,23,6,0,0,2,0
303,29,0,54,12,0.9873179344,3,0,3,0.8333333333,2,0,0,1,0,3,33,6,0,0,2,0
368,36,1,52,12,0.9873179344,3,0,3,0.8333333333,2,0,0,1,0,3,33,6,0,0,2,0
416,40,0,50,12,0.9873179344,3,0,3,0.8333333333,2,0,0,1,0,3,33,6,0,0,2,0
1035,93,0,3921,65,0.9029362836,3,1,2,0.4923076923,4,16,0,1,1,25,236,8,0,0,10,1
3155,109,60,8567,228,0.9425565354,5,3,2,0.4912280702,11,39,0,1,1,71,892,17,0,0,6,47
442,34,0,1930,35,0.9675499638,2,0,2,0.6285714286,3,7,0,1,1,12,138,6,0,0,5,0
165,19,0,4,2,0,1,0,1,1,0,0,0,1,0,2,5,4,0,0,2,0
213,18,1,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
100,12,0,6,3,0,3,0,3,0.6666666667,2,0,0,1,1,3,9,6,0,0,2,0
218,13,0,32,15,0.9718495448,3,0,3,0.9333333333,3,0,0,1,1,5,34,6,0,0,2,0
210,16,0,4,2,0,1,0,1,1,0,0,0,1,0,2,5,4,0,0,2,0
228,22,7,28,14,1,1,0,1,1,0,0,0,1,0,2,35,4,0,0,2,0
65,4,0,12,6,1,1,0,1,1,0,0,0,1,0,2,12,2,0,0,2,0
219,6,0,16,8,1,1,0,1,1,1,0,0,1,4,4,13,4,0,0,4,0
690,25,0,98,30,0.9925592295,3,0,3,0.8666666667,2,0,0,1,0,3,81,6,0,0,2,0
274,13,0,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
134,31,1,6,2,0,2,0,2,0.5,0,1,0,1,0,0,0,0,0,0,0,0
1409,31,0,72,31,0.9876430919,2,0,2,0.9032258065,0,1,0,1,0,3,83,7,0,0,0,0
982,59,2,84,42,1,1,0,1,1,0,0,0,1,0,2,126,3,0,0,1,0
2957,298,1,70,6,0.4693121157,6,0,6,0.5,3,0,0,0,0,4,17,6,0,0,1,2
243,20,0,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
32,8,0,6,3,0,3,0,3,0.6666666667,2,0,0,1,1,3,14,6,0,0,0,0
8796,128,28,207,73,0.982620694,5,3,2,0.8630136986,2,0,0,1,0,12,241,12,0,0,0,7
2544,63,36,74,36,0.9943687154,2,1,1,0.9722222222,0,1,0,1,0,1,48,3,0,0,0,0
6698,100,10,150,55,0.9815198383,4,3,1,0.9454545455,1,2,0,1,0,4,84,6,0,0,0,1
500,133,1,9,2,0,2,0,2,0.5,1,0,0,1,4,2,7,5,0,0,0,0
1201,32,2,54,27,1,1,0,1,1,0,0,0,1,0,2,83,4,0,0,0,0
112,22,0,2,1,0,1,0,1,1,0,0,0,1,0,1,3,3,0,0,0,0
654,67,6,4,2,0,2,0,2,0.5,0,0,0,1,0,0,0,0,0,0,0,0
135,21,1,8,4,0.9463946304,2,0,2,0.75,0,1,0,1,0,2,11,4,0,0,0,1
350,42,2,12,6,0.959147917,2,0,2,0.6666666667,0,1,0,1,0,2,18,4,0,0,2,0
362,18,0,24,11,0.9766146687,2,0,2,0.8181818182,0,1,0,1,0,3,33,4,0,0,0,0
304,11,0,555,2,0,1,0,1,1,1,1,0,1,1,2,8,4,0,0,4,0
108,4,0,196,2,0,2,0,2,0.5,1,0,0,1,6,2,9,5,0,0,2,0
1924,70,0,209,4,0.6309297536,1,0,1,1,0,1,0,0,0,1,15,2,0,0,0,0
129,10,2,2,1,0,2,0,2,1,0,0,0,3,216,0,0,0,0,0,0,0
289,20,0,28,3,0.6826061945,1,0,1,1,2,0,0,1,38,1,6,3,0,0,0,0
85,12,0,4,1,0,3,0,3,0,1,0,0,0.5,11.5,1,4,2,0,0,1,0
1,2,0,6,2,0,2,0,2,0.5,2,0,0,1,14,12,45,9,0,0,2,0
2301,254,1,6,1,0,1,0,1,1,0,1,0,0,0,1,2,2,0,0,0,0
128,20,1,4,2,0,1,0,1,1,0,1,0,1,0,2,5,3,0,0,2,2
65,5,0,8,4,1,1,0,1,1,0,0,0,1,0,2,4,2,0,0,2,0
22,2,0,4,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,6,0
