defects,size,complexity,churn,priordefects,allauthors,minorauthors,majorauthors,authorownership,changeentropy,selfapprovedchanges,rushedreviews,changesnodisc,typicalreviewwindownorm,typicaldisclennorm
0,3002,0.3437708195,15616,5,12,7,5,0.5646258503,0.9408517239,9,5,27,2056.4625668449,0.0833333333
0,597,0.5092127304,3084,6,5,0,5,0.6315789474,0.984571462,0,1,4,956.3139534884,0.0172413793
0,25,0.0800000037,0,0,0,0,0,0,0,0,0,0,0,0
1,14441,0.2906308427,44551,14,21,18,3,0.3965517241,0.9478672711,4,2,14,643.5845238095,0.0405844156
0,928,0,86,0,3,0,3,0.5,0.9903424956,0,0,0,0,0
0,13,0.6153846183,0,0,0,0,0,0,0,0,0,0,0,0
0,12,0.8333333347,8,0,1,0,1,1,1,0,0,0,0,0
0,51,0.5686274518,6,0,1,0,1,1,0,0,0,0,0,0
0,12,0.8333333347,8,0,1,0,1,1,1,0,0,0,0,0
0,32,0.3125000021,0,0,0,0,0,0,0,0,0,0,0,0
0,1130,0,86,0,2,0,2,0.5,0.972765278,0,0,0,0,0
0,178,0,812,0,2,0,2,0.9411764706,0.9525681966,0,0,0,0,0
0,16,0.1250000055,0,0,0,0,0,0,0,0,0,0,0,0
0,1780,0,189,0,3,0,3,0.5,0.9913532539,0,0,0,0,0
0,22,0,2,0,1,0,1,1,0,0,0,0,0,0
0,28,0.0357142892,51,0,1,0,1,1,0,0,0,0,0,0
0,309,0.0744336573,4,1,2,0,2,0.5,1,0,0,1,595.8333333333,0.5
0,63,0,2,0,1,0,1,1,1,0,0,1,669.75,0.5
0,17,0,6,0,1,0,1,1,1,0,0,0,0,0
0,337,0.1513353118,110,0,2,0,2,0.5,0.9807239409,0,0,1,117.2083333333,0.0833333333
0,422,0.1800947869,12,0,1,0,1,1,1,0,0,0,0,0
0,163,0.141104295,6,0,2,0,2,0.5,1,0,0,1,117.2083333333,0.0833333333
0,202,0.158415842,16,0,2,0,2,0.5,0.9629610648,0,0,1,117.2083333333,0.0833333333
0,162,0.2098765437,12,0,2,0,2,0.5,0.9671320181,0,0,1,117.2083333333,0.0833333333
0,247,0.1862348181,12,0,2,0,2,0.5,1,0,0,1,117.2083333333,0.0833333333
0,96,0,210,2,1,0,1,1,1,0,0,0,0,0
0,442,0,30,0,2,0,2,0.5,0.9823887818,0,0,0,0,0
0,42,0,92,0,1,0,1,1,1,0,0,1,195.2608695652,0.0108695652
0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
0,25,0,10,0,1,0,1,1,1,0,0,0,0,0
0,22,0,10,0,1,0,1,1,1,0,0,0,0,0
0,371,0.0566037738,110,0,3,0,3,0.5,0.9769321469,0,0,0,0,0
0,4573,0,1700,2,4,1,3,0.55,0.9934069955,0,0,0,0,0
0,311,0,32,0,3,0,3,0.3333333333,0.9690222557,0,0,0,0,0
0,725,0,67,0,2,0,2,0.5,0.9708357627,0,0,0,0,0
0,13,0,12,0,1,0,1,1,1,0,0,0,0,0
0,86,0,9,0,2,0,2,0.5,1,0,0,0,0,0
0,266,0,24,0,2,0,2,0.5,0.959147917,0,0,0,0,0
0,33,0.0606060635,30,0,1,0,1,1,0,0,0,0,0,0
0,72,0,12,0,1,0,1,1,0,0,0,0,0,0
0,39,0.0769230793,24,0,1,0,1,1,0,0,0,0,0,0
0,58,0,6,0,1,0,1,1,0,0,0,0,0,0
0,44,0.0454545476,38,0,1,0,1,1,0,0,0,0,0,0
0,83,0,10,0,1,0,1,1,0,0,0,0,0,0
0,52,0.0384615403,34,0,1,0,1,1,0,0,0,0,0,0
0,93,0,8,0,1,0,1,1,0,0,0,0,0,0
0,36,0.0277777805,40,0,1,0,1,1,0,0,0,0,0,0
0,93,0,12,0,1,0,1,1,0,0,0,0,0,0
0,117,0,6,0,1,0,1,1,0,0,0,0,0,0
0,1753,0,152,0,3,0,3,0.3333333333,0.9708034414,0,1,1,8.175,0.025
0,457,0,24,0,3,0,3,0.3333333333,0.9636870374,0,0,0,0,0
0,13516,0.3169576798,54617,35,21,19,2,0.4566210046,0.8826725776,4,5,16,709.6134453782,0.0243902439
0,646,0.7538699691,1705,0,3,0,3,0.5714285714,1,0,0,0,0,0
0,1127,0.6708074534,3308,2,5,0,5,0.2,0.9981202079,1,0,2,7201.0625,0.3125
0,23690,0.4361333896,54600,12,23,18,5,0.3287671233,0.9785378091,0,2,7,143.8970588235,0.0588235294
0,220,0.1500000004,19,0,1,0,1,1,0.968392514,0,0,0,0,0
2,1284,0.2461059191,2954,4,7,0,7,0.4736842105,0.989136354,0,1,1,2138.9114583333,0.0653571429
0,2817,0.0731274406,12029,1,2,0,2,0.5,1,0,1,2,9589.1294308112,0.0833726601
0,7070,0.6363507779,20563,6,14,11,3,0.6535433071,0.8463986463,2,0,1,29049.4761904762,0.0651260504
1,4740,0.814556962,17838,2,8,5,3,0.5757575758,0.9898112566,2,0,4,216.5396825397,0.1047619048
0,5880,0.7607142857,18641,2,14,11,3,0.5507246377,0.990264149,0,0,3,9617.1944444445,0.0833333333
0,10517,0.5327564895,30016,2,11,6,5,0.4285714286,0.9924242187,3,0,4,2233.5653409091,0.0435606061
0,6576,0.4440389294,19314,15,15,10,5,0.4895833333,0.9329810485,0,1,9,1151.95,0.05
1,28187,0.2694149785,57867,6,20,17,3,0.2745098039,0.9845377986,3,1,11,1664.2,0.1111111111
0,24,0,108,0,1,0,1,1,0,0,0,0,0,0
0,588,0.6139455783,2166,0,1,0,1,1,0.9959045467,0,1,1,5.2338858195,0.0004604052
